k	dataset	cluster.size	sindex	noisen	diameter	average.distance	median.distance	average.between	average.within	within.cluster.ss	clus.avg.silwidths	avg_sil	dunn	dunn2	entropy	wb.ratio
k4	5	45, 36, 36, 35	0.68	0	1.11, 1.11, 1.09, 1.14	0.89, 0.88, 0.89, 0.91	0.89, 0.89, 0.9, 0.92	0.97	0.89	59.48	0.05, 0.04, 0.04, 0.01	0.04	0.57	1.04	1.38	0.92
k5	5	43, 1, 38, 33, 37	0.68	0	1.11, NA, 1.09, 1.14, 1.11	0.89, NaN, 0.9, 0.91, 0.88	0.89, NA, 0.91, 0.91, 0.89	0.97	0.89	59.15	0.04, 0, -0.02, -0.01, 0.04	0.01	0.56	0.98	1.41	0.92
k6	5	32, 1, 32, 26, 18, 43	0.7	0	1.1, NA, 1.14, 1.01, 1, 1.11	0.88, NaN, 0.9, 0.88, 0.82, 0.89	0.88, NA, 0.91, 0.89, 0.83, 0.9	0.97	0.88	57.28	0.04, 0, -0.01, 0, 0.1, 0.02	0.02	0.59	0.98	1.6	0.91
k7	5	1, 28, 34, 24, 32, 18, 15	0.65	0	NA, 1.05, 1.11, 1, 1.07, 1, 1.05	NaN, 0.86, 0.89, 0.87, 0.91, 0.82, 0.85	NA, 0.87, 0.9, 0.87, 0.92, 0.83, 0.84	0.97	0.87	55.91	0, 0.04, -0.03, 0.01, -0.04, 0.09, 0.07	0.02	0.55	0.97	1.78	0.9
k8	5	26, 13, 18, 29, 26, 8, 31, 1	0.67	0	1.05, 1.05, 1, 1.07, 1.07, 1, 1.12, NA	0.86, 0.87, 0.82, 0.9, 0.86, 0.91, 0.89, NaN	0.86, 0.86, 0.83, 0.91, 0.88, 0.92, 0.89, NA	0.96	0.87	55.45	0.04, 0.06, 0.09, -0.03, 0.02, -0.02, -0.02, 0	0.02	0.55	0.99	1.9	0.9
k9	5	25, 14, 18, 26, 7, 23, 1, 23, 15	0.67	0	1.05, 1.09, 1, 1.07, 1.03, 1.06, NA, 1.12, 1.01	0.85, 0.91, 0.82, 0.86, 0.84, 0.9, NaN, 0.9, 0.89	0.85, 0.92, 0.83, 0.88, 0.83, 0.91, NA, 0.89, 0.89	0.96	0.87	54.93	0.05, -0.05, 0.09, 0.01, 0.07, -0.03, 0, -0.04, -0.02	0.01	0.55	0.96	2.05	0.91
k10	5	13, 25, 6, 17, 6, 23, 26, 12, 23, 1	0.67	0	1.09, 1.05, 0.95, 1, 1.05, 1.06, 1.07, 1, 1.12, NA	0.91, 0.85, 0.85, 0.82, 0.88, 0.9, 0.86, 0.87, 0.91, NaN	0.93, 0.85, 0.85, 0.83, 0.86, 0.91, 0.88, 0.88, 0.91, NA	0.96	0.87	54.7	-0.04, 0.03, 0.03, 0.08, 0.03, -0.04, 0.02, -0.01, -0.06, 0	0	0.55	0.97	2.11	0.91
k11	5	25, 5, 24, 6, 4, 16, 1, 12, 20, 22, 17	0.67	0	1.07, 0.91, 1.05, 0.95, 0.92, 1.06, NA, 1.07, 1.09, 1.05, 1	0.85, 0.86, 0.85, 0.85, 0.86, 0.89, NaN, 0.92, 0.9, 0.89, 0.82	0.87, 0.87, 0.85, 0.85, 0.87, 0.88, NA, 0.93, 0.92, 0.9, 0.83	0.96	0.87	53.97	0.03, 0, 0.02, -0.01, 0.05, -0.02, 0, -0.06, -0.05, -0.03, 0.07	0	0.57	0.95	2.19	0.9
k12	5	17, 23, 1, 12, 19, 16, 17, 6, 12, 25, 4	0.67	0	1.05, 1.05, NA, 0.97, 1.09, 1.06, 1, 0.93, 1.07, 1.07, 1.03	0.88, 0.85, NaN, 0.85, 0.9, 0.9, 0.82, 0.85, 0.92, 0.85, 0.89	0.87, 0.85, NA, 0.86, 0.92, 0.89, 0.83, 0.86, 0.93, 0.87, 0.87	0.96	0.87	53.64	0, 0.03, 0, 0, -0.05, -0.03, 0.07, 0, -0.06, 0.03, 0.01	0	0.57	0.96	2.23	0.9
k13	5	4, 8, 16, 18, 17, 10, 11, 2, 19, 1, 25, 20, 1	0.67	0	0.88, 1.02, 1.06, 1.05, 1, 1.04, 0.95, 0.75, 0.98, NA, 1.07, 1.09, NA	0.84, 0.87, 0.9, 0.88, 0.82, 0.92, 0.86, 0.75, 0.84, NaN, 0.85, 0.9, NaN	0.84, 0.88, 0.89, 0.88, 0.83, 0.94, 0.86, 0.75, 0.84, NA, 0.87, 0.92, NA	0.96	0.87	52.8	0.01, -0.04, -0.05, -0.04, 0.05, -0.08, -0.01, 0.17, 0.03, 0, 0.02, -0.08, 0	0	0.57	0.91	2.3	0.9
k14	5	5, 18, 9, 17, 8, 17, 4, 8, 16, 9, 1, 15, 21, 4	0.67	0	0.97, 0.98, 1.04, 1, 1.02, 1.09, 0.92, 0.93, 1.05, 0.95, NA, 1.06, 1.07, 0.93	0.86, 0.84, 0.92, 0.82, 0.87, 0.91, 0.82, 0.84, 0.88, 0.84, NaN, 0.89, 0.85, 0.84	0.85, 0.84, 0.94, 0.83, 0.88, 0.92, 0.81, 0.83, 0.88, 0.84, NA, 0.88, 0.86, 0.84	0.96	0.86	51.73	0, 0.04, -0.06, 0.06, -0.02, -0.07, 0.08, 0.03, -0.02, -0.02, 0, -0.03, -0.01, 0.02	0	0.57	0.94	2.46	0.9
k15	5	8, 7, 4, 8, 13, 1, 15, 15, 6, 9, 19, 17, 17, 4, 9	0.66	0	0.93, 0.98, 0.97, 1.02, 1.03, NA, 1.04, 1.09, 1.02, 1.04, 1.07, 0.98, 1, 0.93, 0.95	0.85, 0.83, 0.87, 0.87, 0.86, NaN, 0.88, 0.9, 0.87, 0.92, 0.84, 0.83, 0.82, 0.84, 0.84	0.87, 0.81, 0.87, 0.88, 0.86, NA, 0.88, 0.92, 0.89, 0.94, 0.86, 0.84, 0.83, 0.84, 0.84	0.96	0.86	50.9	0.02, 0.04, 0, -0.02, 0, 0, -0.02, -0.07, 0.01, -0.07, -0.02, 0.04, 0.07, 0.02, -0.02	0	0.57	0.93	2.56	0.89
