sample_id	Kids_First_Biospecimen_ID_RNA	Kids_First_Biospecimen_ID_CNV	Kids_First_Biospecimen_ID_SNV	Kids_First_Biospecimen_ID_Methyl	Kids_First_Biospecimen_ID_Splice
7316-2660	BS_91VYM11A	BS_00TRPEQX	BS_00TRPEQX	BS_PNRVT0G5	BS_91VYM11A
7316-6477	BS_93B03065	BS_2T4EJ6KN	BS_2T4EJ6KN	BS_0YPKW34G	BS_93B03065
7316-3208	BS_97M1E2DW	BS_DH86PF5A	BS_DH86PF5A	BS_XWAT4JQM	BS_97M1E2DW
7316-4036	BS_9FHEFJNP	BS_92K4T45D	BS_92K4T45D	BS_AJS9XPEA	BS_9FHEFJNP
7316-3625	BS_9XVACXP0	BS_F064HMTP	BS_F064HMTP	BS_ZBHB9GQ9	BS_9XVACXP0
7316-8461	BS_9Y1K14Q5	BS_3DGPSEH2	BS_3DGPSEH2	BS_D8EY5WJY	BS_9Y1K14Q5
7316-2140	BS_A0DYVX9J	BS_EP25TTAG	BS_EP25TTAG	BS_2P2JFKJ7	BS_A0DYVX9J
7316-126	BS_A7Q8G0Y1	BS_C2NH5FDT	BS_C2NH5FDT	BS_NW4MHHTV	BS_A7Q8G0Y1
7316-3769	BS_AWH9757B	BS_WJB33V17	BS_WJB33V17	BS_WRAG947K	BS_AWH9757B
7316-4952	BS_BBQ6BHGN	BS_9JV0QSKF	BS_9JV0QSKF	BS_12SATYJ3	BS_BBQ6BHGN
7316-343	BS_BMMY0H73	BS_C19DFVR5	BS_C19DFVR5	BS_TME3CH5P	BS_BMMY0H73
7316-717	BS_C3NW374Q	BS_VDESNWXQ	BS_VDESNWXQ	BS_F15BYNC0	BS_C3NW374Q
7316-1105	BS_C6ZZ3FY5	BS_P8WN8XEQ	BS_P8WN8XEQ	BS_2ETZRJQ6	BS_C6ZZ3FY5
7316-8856	BS_CFD3WHAY	BS_1EJ50B5A	BS_1EJ50B5A	BS_WD1MS5X0	BS_CFD3WHAY
7316-161	BS_CS091RPM	BS_CHFJZQWR	BS_CHFJZQWR	BS_98KYK28K	BS_CS091RPM
7316-7498	BS_CXAQDK7S	BS_HPVAR2P6	BS_HPVAR2P6	BS_RRA4GWN4	BS_CXAQDK7S
7316-2100	BS_CXVGG342	BS_RG6JK7ZN	BS_RG6JK7ZN	BS_KBRRF2J1	BS_CXVGG342
7316-2857	BS_DS438CXE	BS_QWS88QXE	BS_QWS88QXE	BS_V38JC9TH	BS_DS438CXE
7316-3161	BS_DZNXFPH1	BS_XQGE3TD3	BS_XQGE3TD3	BS_EY0NRDDP	BS_DZNXFPH1
7316-8420	BS_EDJ5TV0P	BS_3BW37RT7	BS_3BW37RT7	BS_0BE09VC0	BS_EDJ5TV0P
7316-535	BS_FEV5A0HN	BS_MW63FCZC	BS_MW63FCZC	BS_0EXCT8V6	BS_FEV5A0HN
7316-1102	BS_FH4TA0XM	BS_BFDEZK1C	BS_3K5MMTMR	BS_5NM9GXXV	BS_FH4TA0XM
7316-2640	BS_FX2P2WEG	BS_VW4XN9Y7	BS_VW4XN9Y7	BS_0QDG4N14	BS_FX2P2WEG
