sample_id	Kids_First_Biospecimen_ID_RNA	Kids_First_Biospecimen_ID_Methyl	Kids_First_Biospecimen_ID_Splice
7316-2536	BS_QB84TBA3	BS_75H9VE5T	BS_QB84TBA3
7316-6982	BS_QGKEP3KB	BS_YP7F91TW	BS_QGKEP3KB
7316-5159	BS_QMBS32Y2	BS_9ZZ0543Z	BS_QMBS32Y2
7316-3022	BS_QWTE1CWR	BS_8GJ6K5QY	BS_QWTE1CWR
7316-6581	BS_QYA4TQXX	BS_ZNPPWNFE	BS_QYA4TQXX
7316-6039	BS_R5JQE0VJ	BS_PX2GS0TD	BS_R5JQE0VJ
7316-231	BS_RCCN63K6	BS_2EJCW07F	BS_RCCN63K6
7316-6389	BS_RQTTCJ29	BS_8HKF7V0J	BS_RQTTCJ29
7316-116	BS_RXN5T5YT	BS_1CYD2ESS	BS_RXN5T5YT
7316-5928	BS_RZBFH1QF	BS_2Y00WJEQ	BS_RZBFH1QF
7316-2599	BS_S2TA8R29	BS_7FZA386P	BS_S2TA8R29
7316-903	BS_S5P8VTN5	BS_ER1S1BYR	BS_S5P8VTN5
7316-2554	BS_S6S7SK3P	BS_H3MYZY2E	BS_S6S7SK3P
7316-5329	BS_SBMCD7XZ	BS_6SQMYDWP	BS_SBMCD7XZ
7316-2777	BS_SD8YBRBR	BS_CK5JWE8K	BS_SD8YBRBR
7316-619	BS_SNVM7CZT	BS_G63HAA4X	BS_SNVM7CZT
7316-212	BS_SNWRBH0J	BS_Y1CFCD70	BS_SNWRBH0J
7316-9845	BS_SR2RGDXJ	BS_ECBAMM9X	BS_SR2RGDXJ
7316-1062	BS_T1YHK6B7	BS_6YAX2HSE	BS_T1YHK6B7
7316-4466	BS_T289QKBV	BS_ZR660J77	BS_T289QKBV
7316-5087	BS_T2F48Z4E	BS_4GKADZA8	BS_T2F48Z4E
7316-392	BS_T3DGY9J9	BS_N07YNNW7	BS_T3DGY9J9
7316-1052	BS_TGS109T3	BS_SPV8AHH5	BS_TGS109T3
7316-895	BS_TJTEF70D	BS_WKCWT9J1	BS_TJTEF70D
7316-2751	BS_TK84K675	BS_MZN7GK89	BS_TK84K675
7316-1937	BS_TM9MH0RP	BS_GTSTAR3W	BS_TM9MH0RP
7316-461	BS_TRKH2SPE	BS_P9JVPHRF	BS_TRKH2SPE
7316-4723	BS_TRPXB3AV	BS_FS31ZQDG	BS_TRPXB3AV
7316-5328	BS_TTDNZTZ0	BS_M37MAAEE	BS_TTDNZTZ0
7316-1844	BS_TXZ7KHTQ	BS_DQ4MMXWD	BS_TXZ7KHTQ
